,question,answer
86,پایتخت قبرس,نیکوزیا
87,اصطلاحی در فوتبال,سانتر
88,از سه‌تفنگدار دوما,اتوس
89,خار روی دیوار,یز
90,گوشت بی استخوان,لخم
91,رشد کردن,نمو
92,بیماری خطرناک,سل
93,نوعی مار,کفچه
94,فیلمی از رابرت آلتمن,تصویرها
95,طلوع کردن,برامدن
96,روز ازل,الست
97,محاکمه,دادرسی
98,لقب شاعر در شعر,تخلص
99,سوره ۵۳ قرآن‌کریم که ۶۲ آیه دارد,نجم
100,ثلث,یک‌سوم
102,دقت بیمارگونه,وسواس
103,چه وقتی؟,کی
104,دزد سرگردنه,راهزن
105,واحد شمارش شتر,نفر
106,مجروح,زخمی
107,غذایی از بادمجان,یتیمچه
108,سرگرد قدیم,یاور
109,آمال,آرزوها
110,حیوان استرالیایی,کانگورو
111,نوعی درخت که گونه‌ای سرو است,ارس
112,شاعر مسافر,رهی
113,نظاره‌گر,تماشاگر
114,نجات دهنده,منجی
115,کلام تعجب بانوان,وا
116,گرفتار شدن,اسیری
117,الفبای‌ موسیقی,نت
118,کشور گل لاله,هلند
119,از وسایل اعدام,دار
120,تلف و بیهوده,هدر
121,الهه عشق و زیبایی,ونوس
122,حرف ندا,ای
123,فرسوده و کهنه,نخ‌نما
124,هم‌بازی پت,مت
125,راه رفتن کودکانه,تاتی
126,ایالتی در آلمان,تورینگن
127,از القاب اروپایی,لرد
128,آینه مقعر,کاو
129,از شهرهای استان البرز,کمالشهر
130,پایتخت نپال,کاتماندو
131,سخن ‌نیش‌دار,متلک
132,کشور همسایه ترکیه,ارمنستان
133,معضل اقتصادی,تورم
134,بافندگی,نساجی
135,امتحان و تجربه,رون
136,بالاپوش بلند قدیمی,ردا
137,شهد شیرین,شیره
138,مشکل و دشواری,سختی
139,پشت سر و عقب,ورا
140,آزاد و رها,یله
141,بار درخت,نانکش
142,خواننده,رهگو
143,زندان,ندامتگاه
144,زیرک و باهوش,ویرا
145,زوج الماس کوه نور,دریای‌نور
146,بانی‌سلسله قراقویونلو,قرامحمد
147,شهری در استان لرستان,ازنا
148,حرارت و گرمی,تف
149,شهری در آلمان,ینا
150,کلم,کست
151,پرستار,بهیار
152,کلام معتبر,نص
153,طایفه ای در ایران,بلوچ
154,سحر و افسون,جادو
155,یک خودمانی,یه
156,در میان گرفتن چیزی، گرد چیزی برآمدن,احاطه
157,فیلمی از کوستا گاوراس,تبر
158,بردباری,وقر
159,نوعی قطع کتاب,وزیری
160,گرداگرد لب و دهان,نس
161,اجازه داده شده,مجاز
162,داخل، در میان,اندر
163,راه میانبر,ره
164,بیمناک,متوهم
165,عقل و خرد,هوش
166,صدای بلند و واضح,رسا
167,خشکی، آغوش,بر
168,سمت مشرق,خاور
169,از هنرهای دستی ایرانی,ریسندگی
170,از فیلم‌های آلفرد هیچکاک,قایق نجات
171,نوعی کبوتر!,نامه‌بر
172,از شهرهای همدان,رزن
173,مالک,صاحب
174,فیلمی از داریوش مهرجویی,سنتوری
175,مشک,اناب
176,آنچه طبیب برای معالجه بیمار تجویز کند,دارو
177,شب گذشته,دوش
178,من و شما,ما
179,فرود آمدن,هبوط
180,گروه,زمره
181,انبار کشتی,خن
182,پیمانه و اندازه,کیل
183,خوراک خرگوش,هویج
184,منظور و مقصود,مراد
185,برابر با هم,متساوی
186,عهد و پیمان,قرار
187,عزا و ماتم,سوگ
188,دفتر کوچک,دفترچه
189,ظریف کاری,ریزه‌کاری
190,شاعری که به سبک نو شعر گوید,نوپرداز
191,گاوباز اسپانیایی,ماتادور
192,یکی از دو جنس,نر
193,آوازه,شهرت
194,نوعی زردآلوی وحشی,انک
195,بد و زشت,دش
196,ماشین‌باری کوچک,کامیونت
197,پست و فرومایه,دنی
198,درک کردن,دریافتن
199,ضمیر سوم شخص مفرد,او
200,روزی,رزق
201,دایره مانند,مدور
202,گشوده,وا
203,کاغذ مومی,استنسیل
204,نجاری,درودگری
205,مرطوب,نمناک
206,یار خوشبخت عروس,داماد
207,بندری در بلغارستان,وارنا
208,از شهرهای استان‌گیلان,رودسر
209,آهار,پت
210,فیلم خنده‌دار,کمدی
211,حق ناحق سازمان‌ملل,وتو
212,از درختان جنگلی,راش
214,حیله‌گر,رند
215,پرستار کودک که زن باشد,دده
216,نوعی بیسکوییت,ویفر
217,حیوان اصحاب کهف,سگ
218,مقابل بردن,آوردن
219,فریب دادن,تزویر
220,پیغمبر اوستا,زرتشت
221,افسانه گوئی,نقالی
224,کشیک,یتاق
225,عضو تپنده بدن,قلب
226,خوی و سرشت,منش
227,از مواد مخدر,تریاک
228,سوخت ماشین‌های سنگین,گازوئیل
229,شکستگی پوسته‌زمین,گسل
230,شریف‌تر و ارجمندتر,اشرف
231,درک و شعور,حس
232,آش,با
233,سنگ طلق,میکا
234,طبقه‌ای در ساسانیان,اتوربان
235,خمیده,دوتا
236,شخص و نفر,کس
237,واحد پول ژاپن,ین
238,گاهی مهربان‌تر از مادر می‌شود!,دایه
239,مرطوب,خیس
240,رشته‌کوه مرتفع آسیا,هیمالیا
241,از شهرهای استان هرمزگان,میناب
242,حیله,کید
243,واحد پول کره‌جنوبی,وون
244,کارتون‌برنده اسکار 2011 میلادی,رنگو
245,سقف دهان,سق
246,فقیری,تهی‌دستی
247,دو رنگی,زرق
248,از بازیگران فیلم گل یخ,گلاب آدینه
249,بزرگترین جزیره یونان,کرت
250,بندری در اوکراین,یالتا
251,دسته پیستون اتومبیل,شاتون
252,معده,یمینه
253,دهقان و کشاورز,برزگر
254,بانگ قمری,وت
255,انحناء,خمیدگی
256,زندگی کن,زی
257,از بازیگران فیلم متروپل,یوسف مرادیان
258,دوستی,ود
259,خواهان و راغب,متمایل
260,تیر پیکاندار,یب
261,نژاد روسی,اسلاو
262,آمریکایی,یانکی
263,کنده کاری,حکاکی
264,بیماری خشکى,یبوست
265,شکل و تصویر,نقش
266,سریالی از سروش صحت,لیسانسه‌ها
267,از القاب مبارک امام دهم(ع),نقی
268,اثری از جرج‌الیوت,ادام‌بید
269,اشاره کردن با چشم و ابرو,غمز
270,مقابل,ازا
271,از بیماری‌ها,ابله
273,نگاه خیره,زل
274,مشکین‌شهر سابق,خیاو
275,دارای ذوق و سلیقه,باهنر
276,سخن چین,نمام
277,پراکندگی,شت
278,ساختمان‌ها,ابنیه
280,زرد مایل به سرخ,شکری
281,نام سریانی امام‌علی(ع),ایلیا
282,جهان,دنیا
283,درون دهان,کب
285,پیامبری,نبوت
286,رود مرزی ایران,ارس
287,شهر خراسان قدیم,مرو
288,نگهبان جنگی,دیده‌بان
289,ابتدایى,آغازین
290,ذکر,یادباد
291,از وسایل زورخانه,دمبل
292,از بازیگران حراج نفرین,مانی نوری
293,زمان بی‌آغاز,ازل
294,درخور و شایسته,باب
295,نوعی جین,لی
296,آب بند,سد
297,سلسله‌ای در تاریخ ایران,هخامنشیان
300,واحدی در علم‌ فیزیک,یکا
301,سلاح انفجاری,بمب
302,از شهرهای استان‌کرمان,یزدان شهر
303,رودی در آذربایجان,کورا
304,انتقال مکالمه در موبايل,دایورت
305,از گیاهان طبی,یربتون
306,امامزاده ای در ندوشن استان یزد,مامانیک
307,لقب شیطان,رجیم
308,ضد خشک,تر
309,چرخیدن به دور خود,غلت
310,بی تجربه,خام
311,صفحه اینترنتی,وب
312,به ذهن افکندن,القا
313,اثر تاریخی استان‌‌کرمان,ارگ راین
314,نمودار آماري,گراف
315,امر به نشستن,نشین
316,اشاره به دور,آن
317,به خشخاش می گذارند!,مته
318,صورت و چهره,لقا
319,کلمه تصغیر,که
320,نام سابق شهرری,راقس
321,کرم حشره,لارو
322,تشخیص هویت,شناسایی
323,از شهرهای آلمان,ناون
325,از کلمات سوالی,آیا
326,خودرویی کوچک,رنو
327,جای لیزخوردن,سر
328,تزریق ژل,فیلر
329,حرف‌های بیهوده ‌زند,یاوه‌گوی
330,نفرین و فال بد,مرغوا
331,ناسپاسی,نمک نشناسی
332,کسی که زمان مرگش فرا رسیده,اجل برگشته
333,واحد پول نیجریه,نایرا
334,مرده,میت
335,ناله و زاری,گریه
336,از برندهای گوشی‌همراه,لاوا
337,رئیس جیمزباند,ام
338,از توابع کاشان,آران
339,زنجبیل شامی,راسن
340,پاروی قایقرانان,فه
341,ناحق,خلاف
342,ایالتی در ونزوئلا,لارا
343,خرده سنگ,ریگ
344,نگهبان و کشيکچي,یتاقی
345,از سلسله امرای ترکمن,اق‌قویونلو
346,نوعی دسر,کرم آناناس
347,امدادرسانی,یاوری
348,لقب‌ اشرافی در هندوستان,مهاراجه
349,درختچه آپارتمانی,یوکا
350,سرمای سخت,زم
351,بی‌سواد قدیمی,امی
352,پسوند آلودگی,ناک
353,خلیج شمال ونزوئلا,پاریا
354,خون و نفس,دم
355,تدریس کننده,مدرس
356,کسی یا چیزی که به دیگری متصل شود,واصل
357,عدد خیطی,سه
358,کمال مطلوب,ایده‌آل
359,رنگ طلایی,بور
360,نخ ابریشم,تیج
361,وب سایت,تارنما
362,بی حس,لس
363,شاه مغول,قاآن
364,بخشنده,وهاب
365,غرور و تکبر,نب
366,سدی در استان‌تهران,لتیان
367,زادگاه نیما شاعر نوپرداز,یوش
368,آلونک,کوخ
369,هزار کیلوگرم,تن
370,کشوری در مدیترانه,مالت
371,از تأثیرگزارترین فیلسوفان و اندیشمندان مسیحیت در دوران باستان و اوایل قرون وسطی محسوب می‌گردد,آگوستین
372,شهری در آذربایجان غربی,میاندوآب
373,رمانی از ناباکوف,لولیتا
374,گیاه مقدس زرتشتیان,هوم
375,بنیانگذار جمهوری چین,مائو تسه‌تونگ
376,دسته و گروه,اکیپ
377,بالا برنده,صدرا
378,زمین آماده کشت,ایش
379,نشانه‌ مفعولی,را
380,نام درختی هندی,امله
381,رقیبان,رقبا
382,فلز بادیه,مس
383,تنه درخت,نرد
384,الهه عقل و هنر,آتنا
385,جمع نکته,نکات
386,کشوری در قاره اقیانوسیه,جزایر سلیمان
387,سرپرست و قیم,ولی
388,هم‌نشین,هم‌کاسه
389,از دنیا رفتن,جان‌باختن
390,از غذاهای سنتی گیلان,سیرابیج
391,از غذاهای ایرانی,تاس‌کباب
393,مهتر و رئیس,سرور
394,هر جسمی دارد,وزن
396,سم موجود در سیگار,نیکوتین
397,پارچه مشبک,تور
398,تقویم,گاهنامه
400,تنبل‌ جالیزی,کدو
401,نام کهن شهر رى,راگا
403,فيلمي با بازي سانجي دات,مرد شرور
404,جا انداختن چيزهاي تازه و نوظهور,نهادینه
405,نازا,سترون
406,سازي کلاويه اي,گارمن
407,رئیس قبیله دوران مادها,یانزی
408,روشن کردن,اناره
409,خاک سفالگری,رس
410,سخن ‌ظریف,نکته
411,نیازمند خیابانی,گدا
412,قرص روانگردان,اکس
414,سخت تر,اشد
415,از حیوانات درنده,ببر
416,چاک و شکاف,تراک
417,شهر رازی,ری
419,قرض دار,مدیون
420,تلافی کردن,جبران
421,پرنده شکاری حلال‌گوشت,هوبره
422,کارگردان فیلم ارتش تاریکی,سام ریمی
423,مقابل آمد,رفت
424,اسب کهر,ترغ
425,از نمازهای واجب,آیات
427,پنبه پاک‌نشده,وش
428,خودرویی ایرانی,رانا
429,نوعی آش محلی سنندج,هالاو
431,حرف‌ دوم انگلیسی,بی
432,هال,سرسرا
433,کالای دست نخورده,آک
434,شاگرد مغازه,پادو
435,شوم,منحوس
436,تنیسور سوئیسی,فدرر
438,مساوی,یر
439,کوره نان‌پزی,تنور
440,پایین,زیر
441,شایسته و سزاوار,اهل
442,آلبومی از شهرام ناظری,مهتاب‌رو
443,شهری در سیستان و بلوچستان,سراوان
444,از بیماری‌ها,آمفیزم
445,ورقه چاپی تبلیغاتی,افیش
446,بندری در مصر,اسکندریه
447,نام جدید فیس‌بوک,متا
448,خورشید عالمتاب,هور
449,نخستین شهید واقعه عاشورا در کربلا,حر
450,عریان,رت
451,حمل و نقل,ترانسپورت
452,علامت مصدرجعلی,یت
453,خاندان و قوم,آل
454,واحد شمارش گاو,راس
455,خالص,ناب
456,شهري نزديک چالوس,مرزن‌آباد
457,همسر زن,شوهر
458,ظرف سربازی,یغلاوی
459,آخرین نبرد ناپلئون,واترلو
460,مهاجر,کوچ‌نشین
461,سبزی نقلی,ترب
462,نخست و آغاز,اول
463,پاکسازی قنات,لایروبی
464,نقش هنرپیشه,رل
466,برکه بزرگ,تالاب
467,مجلل و شیک,لوکس
468,دوست داشتن,ود
469,پیوند زناشویی,نکاح
470,نماز یک رکعتی,وتر
471,راندن مزاحم,دک
472,منقار کوتاه,نک
473,قفل کمربند,سگک
474,پرنده دریاچه,قو
476,نوعی آچار,آلن
477,برگشت دادن,عودت
478,مخفف هستم,ام
479,مردد و بی ثبات,دودل
480,بد اخم و خشن,ترش‌رو
481,دلاور و مبارز,یل
482,حرف مشایعت,با
483,مجازا وسیله بهانه,دست‌آویز
484,بخش های مساوی مزرعه,کرت
485,سنگ انداختن,رمی
486,مونیتور,نمایشگر
487,کاغذ کپی,کاربن
488,توانمند و با اقتدار,مقتدر
489,جنبیدن,وول
490,خسیس و بخیل,کنس
491,سنت و آیین,رسم
492,همراه خل,چل
493,رنگ ناخن,لاک
494,دوستی پس از قهر,آشتی
495,سنگ نوشته,لوح
496,پادشاهان,امرا
497,تیراندازی,شلیک
498,بیماری ریوی,سل
499,واحد پول کره,وون
500,حرف انتخاب,یا
501,قسم,سوگند
502,دریا و بحر,یم
503,قصد و آهنگ,نیت
504,نوک پرنده,تک
505,امضای گذرنامه,ویزا
506,شهری در کرمان,راور
507,دادگری کردن,عدل
508,به دنیا آمدن,تولد
509,سخن تعهد آور,قول
510,مرتجع لاستیکی,کش
511,پول نامشروع,ربا
512,حاصل سوختن ناقص,دود
513,واحد شمارش کاغذ,برگ
514,متهور و جسور,بی‌باک
515,معامله پایاپای,تهاتر
516,یکی از خدایان باستانی تمدن بابل است,مردوخ
517,پدر و مادر,اولیا
518,آلتی برای نواختن سازهای زهی,مضراب
519,از درجات نظامی,سروان
520,نمایش تلویزیونی,شو
521,بی‌دغدغه,ریلکس
523,وسیله‌ای در حمام,وان
524,شایسته و جایز,روا
525,پاره ای از چیزی,تکه
526,نام یکی از تابعان امام علی(ع),قنبر
527,از گیاهان آپارتمانی,بگونیا
528,فرصتها یا تواناییها برای انجام کار,امکانات
529,راست,مستقیم
530,بی جان,موات
531,خیسی,تری
532,از بیماری‌های‌ واگیردار,وبا
533,درد و الم,رنج
534,زغال سنگ مرغوب,کک
535,دستگاه فاکس,نمابر
537,برادران مخترع سینما,لومیر
538,جزایی,کیفری
539,برانگیخته شده,مبعوث
540,آبگیر,آبکند
541,زیبا,ممشوق
542,سخنگو,متکلم
543,دربان بهشت,رضوان
544,سرزنش و طعنه,سرکوب
545,از آن وارد می شویم,در
546,نوعی روغن,نباتی
547,گداخته شدن,مع
548,پسوند شباهت,وار
549,توان و نیرو,رمق
550,جوان و دلیر,نیو
551,آگاه و دانا,خبیر
552,اولین پادشاه پیشدادی,کیومرث
553,پایتخت سوازیلند,لوبامبا
554,بندری در دانمارک,اسکاگن
555,گریه کردن,ابکا
556,مهار بینی شتر,ورس
557,قرض و بدهی,وام
558,حقه و کلک,ریب
559,می‌دهند تا رسوا کنند,لو
560,داروی حل شده در الکل,تنتور
561,جانوری دریایی,فک
563,کارآموز رشته پزشکی,انترن
564,آخر و پایان,انتها
565,شمشیر از غلاف کشیدن,تجرید
566,دلسوز و مهربان,غمخوار
567,راننده اتومبیل,شوفر
568,دست آموز,رام
569,انتخاب شماره تصادفی در رایانه,رندم
570,اشاره به شخص غایب,او
571,نام آذری,اد
572,گیشه,باجه
573,تنگ چشم و بخیل,کنس
574,از ماه های سال,مرداد
575,عالم الهی,لاهوت
576,دانه گیاه,تخم
577,کار دستی و غیر ماشینی,یدی
578,سوره زنان,نسا
579,نوعی ماشین,رنو
580,اولین روز هفته,شنبه
581,ردیف قالیبافی,رج
582,چوب صنعتی ارزنده,آبنوس
583,خطاب بی ادبانه,هی
584,فانی,میرا
585,میوه بهاری,توت
586,ضمیر مؤدبانه,شما
587,یک پنجم,خمس
588,داور و قاضی,حکم
589,خوراکی از تخم مرغ,نیمرو
590,بوی خوش,رایحه
592,خطر پذیری,ریسک
593,گریز حیوان,رم
594,حرف گزینش,یا
595,خط سیر سیارات,مدار
596,هواپیمای ملی ایران,هما
597,ابزار اضافی,یدکی
598,نوعی مسابقه دو استقامت,ماراتن
599,تاوان و جریمه,غرامت
600,نور و فروغ,روشنایی
601,مسئول هزینه در سفرها,مادرخرج
602,زاد روز,میلاد
603,کوزه سفالین,خم
604,دشت و صحرا,دمن
605,جای امن,مامن
607,صوت درد و رنج,وای
608,نت سوم,می
609,اختیاری,ارادی
610,تصادف,برخورد
611,محنت و اندوه,رنج
612,ناسزا و فحش,دشنام
613,اسب چاپار,یام
614,پایتخت هندوستان,دهلی‌نو
615,هال و راهرو,سرسرا
616,حس بویایی,شم
617,همراه چفت,بست
618,صدمه و آسیب,اک
619,قدیمی و فرسوده,کهنه
620,پیام آسمانی,وحی
621,نشانه جمع,ها
622,چراغ دریایی,فانوس
623,اسائه ادب,هتک حرمت
624,اهل دهکده,روستایی
625,مقابل میزبان,مهمان
626,کسی که از آینده خبر می دهد,پیشگو
627,آدم خشن و بی فرهنگ,قلتشن
628,بیابان و صحرا,وادی
629,شکوه و شکایت,گله
630,ضمیر فرانسوی,وو
631,سطح دست,کف
632,خم شدن,رکوع
633,پشت سر,عقب
634,مهمانخانه مدرن,هتل
635,ناشناخته و نامعلوم,مجهول
636,چاشنی پرمصرف,نمک
637,کیسه صابون,لیف
638,بنیادی و اصولی,اساسی
639,خانه سنگ پشت,لاک
640,سلاح رستم,گرز
641,لبخند زدن,تبسم
642,رده و رسته,صف
643,بله ایتالیایی,سی
644,پیرامون دهان چارپایان,پوز
645,دیرینه و بی آغاز,ازلی
646,نقصان و کاستی,کمبود
647,عیالوار,متاهل
648,فشنگ خالی,پوکه
649,قسمتی از تفنگ,مگسک
650,پیدا کردن,یافتن
651,چرک زخم,ریم
652,استوار ساختن,شد
653,بدگوی,لماز
654,دشواری در کار,گیر
655,شخص و فرد,کس
656,رودی در ایتالیا,پو
657,قلیل و اندک,کم
658,مطالعه مقدماتی,اتود
659,از میوه های تابستانی,گوجه سبز
660,حصار و دژ,قلعه
661,بله بیگانه,یس
662,زیر پا مانده,له
664,تار و کدر,مات
665,معلول و ناتوان,علیل
666,به دنیا آوردن,زا
667,اشتیاق و آرزومندی,شوق
668,مسافت,فاصله
669,وقت چیزی یا کاری,نوبت
670,ضامن و متعهد,کفیل
671,شهری در استان کرمانشاه,جوانرود
672,جانشین ساختن,استخلاف
673,دهکده نیما,یوش
674,شهر بی‌قانون,هرت
675,زیارت ‌کننده,زائر
677,معاون هیتلر,هس
678,نان سنتی پرطرفدار,سنگک
679,اقامتگاه مسافر,هتل
680,پایتخت نائورو,یارن
681,کشنده بی‌صدا,سم
683,قدرت و توان,یارا
684,گریبان لباس,یقه
685,نوعی گلیم دست باف خاص ایران که نقشه اش از داستانی حکایت می کند,گبه
686,از گیاهان دارویی,مامیران
687,هم وزن,هم ترازو
688,به برنده می‌دهند,جایزه
689,گوهر بی‌همتا,یتیمه
691,اعداد و شماره‌ها,ارقام
692,عصبانی و خشمناک,آتشی
693,شامل همه می‌شود,هر
694,تلاش و کوشش قوی,همت
695,یار سوزن,نخ
696,آنچه از زمین‌بروید,رستنی
698,تقویت امواج رادیویی,رله
699,برج فرانسه,نل
700,نوعی آش آرد,اگرا
701,رنگارنگ,وارنگ
702,شهری در استان سیستان و بلوچستان,سرباز
703,بروشور,دفترک
704,ماه شب اول,ماه نو
705,یکی از کارهای کفاشی,واکس زدن
706,کلیسای شهر پاریس,نوتردام
707,پدر حضرت ابراهیم(ع),تارخ
708,مایه پیشرفت بعضی‌ها!,رو
710,چاق,سمین
711,از دختران حضرت شعیب(ع),لیا
712,نیرو و توان,قوه
713,هجوم و حمله,یورش
714,لکنت زبان,تاتا
715,خوب و خوش,سخ
716,از فیلم‌های جمشید حیدری,وکیل اول
718,بیماری کم‌خونی,آنمی
719,گرفتگی ‌زبان,لکنت
722,نمایش همراه با شعر و موسیقی,اپرا
723,سنگریزه,شن
725,بازیکن دانمارکی سابق آ.ث میلان,هلوگ
726,واحد پول نیکاراگوا,کوردوبا
727,از فرشتگان مقرب الهی,اسرافیل
728,دستگاه تنفس مصنوعي,ونتیلاتور
729,محبوب و معشوق,رایکا
730,ظرف ها,آوانی
731,بخور آن برای سرما خوردگی و زکام بکار میرود,اکالیپتوس
732,کوهان بلند,کتر
733,موجود فرازمینی سینمایی,ایتی
734,بخشی از بدن,کمر
735,تکرار یک حرف,رر
736,شهری در خراسان رضوی,سرخس
737,لبه چين دار پرده,والان
738,هدیه دادن,اهدا
739,حرف زورو!,زد
740,جای قرار و آرام,مقر
741,گیرنده‌امواج رادیویی,انتن
742,مخترع آنتن بی سیم,لوف
743,آخرین شاه هخامنشی,داریوش سوم
744,هافبک اسبق تیم‌های پرسپولیس و استقلال,آشوبی
745,الگو و مدل,نمونه
746,خلیجی در شمال شرقی اقیانوس هند,خلیج بنگال
747,بالاترین اندازه,ماکزیمم
748,خانه,سرا
749,مردمی,ملی
752,پهلوان,گو
753,پرنده سندباد,شیلا
754,طرح و نمونه,الگو
755,حرف دهن‌کجی,یی
757,آینده,آتی
758,خشم و قهر,وژ
759,همراه داماد,عروس
760,بی‌نظیر,بیتا
761,دنبالش نگردید!,گم
762,قلعه,حصار
763,رسمی در زورخانه,گلریزان
764,جواب مثبت,آری
765,طلای سیاه,نفت
766,تیمی در لیگ هلند,هیرنوین
767,از جنس فلزبادیه,مسی
768,وقت و بی وقت,گاه و بیگاه
769,باستان شناسی,ارکیولوژی
770,گویشی در کشورمان,لری
771,نادان,کانا
772,بیماری جرب,گر
773,نوشتن,تحریر
774,پایتخت لهستان,ورشو
775,گناهکار,عاصی
776,برد آن معروف‌است,یمانی
777,واحد سطح,ار
778,دوباره,از نو
779,حشره جهنده,ملخ
780,تهیه و کپی و مونتاژ فیلم و زینگ کارهای چاپی,لیتوگرافی
781,آیین مِهرپرستی,میتراییسم
782,بدبو,نتن
783,از فیلم‌های آلفرد هیچکاک,طلسم شده
784,امر به جویدن,بجو
785,ارزش جنس,بها
786,شهری در خوزستان,سوسنگرد
787,نوعی ماشین راهسازی,لودر
788,برآمدگی ته کفش,آج
789,جزیره,اداک
790,زیلوباف,لباف
791,شما و من,ما
792,از آن کوه می‌سازند!,کاه
793,واژه و کلمه,لفظ
794,حرص و طمع,از
795,سوره ۱۹ قرآن کریم,مریم
796,چهره و صورت,سیما
797,زمین‌شوی دسته‌دار,تی
798,زیرکی,رندی
799,آلبومی از مرحوم محمدرضا شجریان,یاد ایام
800,نکوهش و سرکوفت,لوم
801,حیوان کوهان‌دار,شتر
802,تخته سپید,وایت برد
803,طوفان آن در تاریخ ایران معروف شد,طبس
804,هرم معروف مکزیک,ال‌کاستیلو
805,فیلمی از مهدی برقعی,لج و لجبازی
806,نغمه و بانگ,آوا
807,نور کم,سوسو
808,نفس بلند,آه
809,معادل فارسی فولکلوریک,مردمی
810,پنبه زن,نداف
811,مثل و شبیه,مانا
812,حارس و نگهبان شب,شبگرد
813,قومی ایرانی,لر
814,شبی که گذشت,دیشب
815,روزگار,دهر
816,سالن اجرای نمایش,آمفی تئاتر
817,از بازیگران علی‌البدل,هادی کاظمی
818,همسر زن,مرد
819,روش شناسی,متدلوژی
820,پست و فرومایه,دون
821,ذهن و خاطر,یاد
822,مرد سنگ‌انداز,رداس
823,میان و وسط,لا
824,آخرین عدد یک رقمی,نه
825,تن‌پرور و تنبل,کاهل
826,نقش ها,نقوش
827,بندری در فرانسه,نیس
828,وسیله مورد نیاز نجار,اره
829,حریص,طامع
830,نام بغدادي عارف ايراني,جنید
831,بله روسی,دا
833,از ماه‌های فصل ‌پاییز,آبان
834,نوعی بستنی,یخی
835,حسرت,اسف
836,کشوری در شمال آمریکای مرکزی,هندوراس
837,جدید و امروزی,مدرن
838,کشوری در قاره آفریقا,نیجریه
839,پاسخ محکم و دندان شکن,تو دهنی
840,استخوان نازک روی سرانگشت دست و پا,ناخن
841,خودرویی ایرانی,دنا
842,نوعی خرید,قسطی
843,هالوژن نمک ‌طعام,ید
844,محل استقرار موشک,سکو
845,به‌جا آوردن,ادا
846,حرف ‌پیروزی,وی
847,نوشیدنى,آشام
848,دفعه و مرتبه,بار
849,شبنم,ژاله
850,همچون تندر,رعدآسا
851,دست خدا,یدالله
852,گرانمایه تر,انفس
853,کنایه از خسیس,ناخن خشک
854,حیوان عاج‌دار,فیل
855,سرپرست و قیم,وصی
856,نوعی سنگ آهک,تراورتن
857,مفهوم,مفاد
859,خدمتکار زن,کنیز
860,صنعتی در ادبیات,جناس
861,تزیین و آراستن,زت
862,وجود دارد,هست
863,یزدان,خدا
865,کشوری در آفریقا,کنگو
866,از تیغه‌های آزمایشگاهی,لامل
