,text
213,پرستار کودک که زن باشد، دده است.
214,ویفر نوعی بیسکوییت است.
215,سگ حیوان اصحاب کهف است.
216,آوردن مقابل بردن است.
217,تزویر فریب دادن است.
218,زرتشت پیغمبر اوستا است.
219,نقالی افسانه گوئی است.
220,یتاق معادل کشیک است.
221,قلب عضو تپنده بدن است.
222,منش معادل خوی و سرشت است.
223,تریاک از مواد مخدر است.
224,گازوئیل سوخت ماشین‌های سنگین است.
225,گسل شکستگی پوسته‌زمین است.
226,اشرف معادل شریف‌تر و ارجمندتر است.
227,حس معادل درک و شعور است.
228,با معادل آش است.
229,میکا سنگ طلق است.
230,اتوربان طبقه‌ای در ساسانیان است.
231,خمیده، دوتا است.
232,کس معادل شخص و نفر است.
233,ین واحد پول ژاپن است.
234,گاهی مهربان‌تر از مادر می‌شود!، دایه است.
235,خیس معادل مرطوب است.
236,هیمالیا رشته‌کوه مرتفع آسیا است.
237,میناب از شهرهای استان هرمزگان است.
238,کید معادل حیله است.
239,وون واحد پول کره‌جنوبی است.
240,رنگو کارتون‌برنده اسکار ۲۰۱۱ میلادی است.
241,سق سقف دهان است.
242,تهی‌دستی معادل فقیری است.
243,زرق دو رنگی است.
244,گلاب آدینه از بازیگران فیلم گل یخ است.
245,کرت بزرگترین جزیره یونان است.
246,یالتا بندری در اوکراین است.
247,شاتون دسته پیستون اتومبیل است.
248,یمینه معادل معده است.
249,برزگر معادل دهقان و کشاورز است.
250,وت بانگ قمری است.
251,خمیدگی معادل انحناء است.
252,زندگی کن، زی است.
253,یوسف مرادیان از بازیگران فیلم متروپل است.
254,ود معادل دوستی است.
255,متمایل معادل خواهان و راغب است.
256,یب تیر پیکاندار است.
257,اسلاو نژاد روسی است.
258,یانکی معادل آمریکایی است.
259,حکاکی کنده کاری است.
260,یبوست بیماری خشکى است.
261,نقش معادل شکل و تصویر است.
262,لیسانسه‌ها سریالی از سروش صحت است.
263,نقی از القاب مبارک امام دهم (ع) است.
264,ادام‌بید اثری از جرج‌الیوت است.
265,غمز اشاره کردن با چشم و ابرو است.
266,ازا معادل مقابل است.
267,ابله از بیماری‌ها است.
268,زل نگاه خیره است.
269,خیاو مشکین‌شهر سابق است.
270,باهنر دارای ذوق و سلیقه است.
271,نمام سخن چین است.
272,شت معادل پراکندگی است.
273,ابنیه معادل ساختمان‌ها است.
274,شکری زرد مایل به سرخ است.
275,ایلیا نام سریانی امام‌علی (ع) است.
276,دنیا معادل جهان است.
277,کب درون دهان است.
278,نبوت معادل پیامبری است.
279,ارس رود مرزی ایران است.
280,مرو شهر خراسان قدیم است.
281,دیده‌بان نگهبان جنگی است.
282,آغازین معادل ابتدایى است.
283,یادباد معادل ذکر است.
284,دمبل از وسایل زورخانه است.
285,مانی نوری از بازیگران حراج نفرین است.
286,ازل زمان بی‌آغاز است.
287,باب معادل درخور و شایسته است.
288,لی نوعی جین است.
289,سد آب بند است.
290,هخامنشیان سلسله‌ای در تاریخ ایران است.
291,یکا واحدی در علم‌ فیزیک است.
292,بمب سلاح انفجاری است.
293,یزدان شهر از شهرهای استان‌کرمان است.
294,کورا رودی در آذربایجان است.
295,دایورت انتقال مکالمه در موبایل است.
296,یربتون از گیاهان طبی است.
297,مامانیک امامزاده‌ای در ندوشن استان یزد است.
298,رجیم لقب شیطان است.
299,تر ضد خشک است.
300,غلت چرخیدن به دور خود است.
301,خام بی تجربه است.
302,وب صفحه اینترنتی است.
303,القا به ذهن افکندن است.
304,ارگ راین اثر تاریخی استان‌‌کرمان است.
305,گراف نمودار آماری است.
306,نشین امر به نشستن است.
307,آن اشاره به دور است.
308,به خشخاش می‌گذارند!، مته است.
309,لقا معادل صورت و چهره است.
310,که کلمه تصغیر است.
311,راقس نام سابق شهرری است.
312,لارو کرم حشره است.
313,شناسایی تشخیص هویت است.
314,ناون از شهرهای آلمان است.
315,آیا از کلمات سوالی است.
316,رنو خودرویی کوچک است.
317,سر جای لیزخوردن است.
318,فیلر تزریق ژل است.
319,حرف‌های بیهوده ‌زند، یاوه‌گوی است.
320,مرغوا نفرین و فال بد است.
321,نمک نشناسی معادل ناسپاسی است.
322,اجل برگشته کسی است که زمان مرگش فرا رسیده.
323,نایرا واحد پول نیجریه است.
324,میت معادل مرده است.
325,گریه معادل ناله و زاری است.
326,لاوا از برندهای گوشی‌همراه است.
327,ام رئیس جیمزباند است.
328,آران از توابع کاشان است.
329,راسن زنجبیل شامی است.
330,فه پاروی قایقرانان است.
331,خلاف معادل ناحق است.
332,لارا ایالتی در ونزوئلا است.
333,ریگ خرده سنگ است.
334,یتاقی معادل نگهبان و کشیکچی است.
335,اق‌قویونلو از سلسله امرای ترکمن است.
336,کرم آناناس نوعی دسر است.
337,یاوری معادل امدادرسانی است.
338,مهاراجه لقب‌ اشرافی در هندوستان است.
339,یوکا درختچه آپارتمانی است.
340,زم سرمای سخت است.
341,امی بی‌سواد قدیمی است.
342,ناک پسوند آلودگی است.
343,پاریا خلیج شمال ونزوئلا است.
344,دم معادل خون و نفس است.
345,مدرس تدریس کننده است.
346,کسی یا چیزی که به دیگری متصل شود، واصل است.
347,سه عدد خیطی است.
348,ایده‌آل کمال مطلوب است.
349,بور رنگ طلایی است.
350,تیج نخ ابریشم است.
351,تارنما وب سایت است.
352,لس بی حس است.
353,قاآن شاه مغول است.
354,وهاب معادل بخشنده است.
355,نب معادل غرور و تکبر است.
356,لتیان سدی در استان‌تهران است.
357,یوش زادگاه نیما شاعر نوپرداز است.
358,کوخ معادل آلونک است.
359,تن هزار کیلوگرم است.
360,مالت کشوری در مدیترانه است.
361,آگوستین از تأثیرگزارترین فیلسوفان و اندیشمندان مسیحیت در دوران باستان و اوایل قرون وسطی محسوب می‌گردد.
362,میاندوآب شهری در آذربایجان غربی است.
363,لولیتا رمانی از ناباکوف است.
364,هوم گیاه مقدس زرتشتیان است.
365,مائو تسه‌تونگ بنیانگذار جمهوری چین است.
366,اکیپ معادل دسته و گروه است.
367,صدرا بالا برنده است.
368,ایش زمین آماده کشت است.
369,را نشانه‌ مفعولی است.
370,امله نام درختی هندی است.
371,رقبا معادل رقیبان است.
372,مس فلز بادیه است.
373,نرد تنه درخت است.
374,آتنا الهه عقل و هنر است.
375,نکات جمع نکته است.
376,جزایر سلیمان کشوری در قاره اقیانوسیه است.
377,ولی معادل سرپرست و قیم است.
378,هم‌کاسه معادل هم‌نشین است.
379,جان‌باختن از دنیا رفتن است.
380,سیرابیج از غذاهای سنتی گیلان است.
381,تاس‌کباب از غذاهای ایرانی است.
382,سرور معادل مهتر و رئیس است.
383,هر جسمی دارد، وزن است.
384,نیکوتین سم موجود در سیگار است.
385,تور پارچه مشبک است.
386,گاهنامه معادل تقویم است.
387,کدو تنبل‌ جالیزی است.
388,راگا نام کهن شهر رى است.
389,مرد شرور فیلمی با بازی سانجی دات است.
390,نهادینه جا انداختن چیزهای تازه و نوظهور است.
391,سترون معادل نازا است.
392,گارمن سازی کلاویه‌ای است.
393,یانزی رئیس قبیله دوران مادها است.
394,اناره روشن کردن است.
395,رس خاک سفالگری است.
396,نکته سخن ‌ظریف است.
397,گدا نیازمند خیابانی است.
398,اکس قرص روانگردان است.
399,اشد معادل سخت‌تر است.
400,ببر از حیوانات درنده است.
401,تراک معادل چاک و شکاف است.
402,ری شهر رازی است.
403,مدیون قرض دار است.
404,جبران تلافی کردن است.
405,هوبره پرنده شکاری حلال‌گوشت است.
406,سام ریمی کارگردان فیلم ارتش تاریکی است.
407,مقابل آمد، رفت است.
408,ترغ اسب کهر است.
409,آیات از نمازهای واجب است.
410,پنبه پاک‌نشده، وش است.
411,رانا خودرویی ایرانی است.
412,هالاو نوعی آش محلی سنندج است.
413,بی حرف‌ دوم انگلیسی است.
414,سرسرا معادل هال است.
415,کالای دست نخورده، آک است.
416,پادو شاگرد مغازه است.
417,شوم، منحوس است.
418,فدرر تنیسور سوئیسی است.
419,یر معادل مساوی است.
420,تنور کوره نان‌پزی است.
421,زیر معادل پایین است.
422,اهل معادل شایسته و سزاوار است.
423,مهتاب‌رو آلبومی از شهرام ناظری است.
424,سراوان شهری در سیستان و بلوچستان است.
425,آمفیزم از بیماری‌ها است.
426,افیش ورقه چاپی تبلیغاتی است.
427,اسکندریه بندری در مصر است.
428,متا نام جدید فیس‌بوک است.
429,هور خورشید عالمتاب است.
430,حر نخستین شهید واقعه عاشورا در کربلا است.
431,رت معادل عریان است.
432,ترانسپورت معادل حمل و نقل است.
433,یت علامت مصدرجعلی است.
434,آل معادل خاندان و قوم است.
435,راس واحد شمارش گاو است.
436,ناب معادل خالص است.
437,مرزن‌آباد شهری نزدیک چالوس است.
438,شوهر همسر زن است.
439,یغلاوی ظرف سربازی است.
440,واترلو آخرین نبرد ناپلئون است.
441,کوچ‌نشین معادل مهاجر است.
442,ترب سبزی نقلی است.
443,اول معادل نخست و آغاز است.
444,لایروبی پاکسازی قنات است.
445,رل نقش هنرپیشه است.
446,تالاب برکه بزرگ است.
447,لوکس معادل مجلل و شیک است.
448,ود دوست داشتن است.
449,نکاح پیوند زناشویی است.
450,وتر نماز یک رکعتی است.
451,دک راندن مزاحم است.
452,نک منقار کوتاه است.
453,سگک قفل کمربند است.
454,قو پرنده دریاچه است.
455,آلن نوعی آچار است.
456,عودت برگشت دادن است.
457,مخفف هستم، ام است.
458,دودل مردد و بی ثبات است.
459,ترش‌رو بد اخم و خشن است.
460,یل معادل دلاور و مبارز است.
461,با حرف مشایعت است.
462,دست‌آویز مجازا وسیله بهانه است.
463,کرت بخش‌های مساوی مزرعه است.
464,رمی سنگ انداختن است.
465,نمایشگر معادل مونیتور است.
466,کاربن کاغذ کپی است.
467,مقتدر توانمند و با اقتدار است.
468,وول معادل جنبیدن است.
469,کنس معادل خسیس و بخیل است.
470,رسم معادل سنت و آیین است.
471,چل همراه خل است.
472,لاک رنگ ناخن است.
473,آشتی دوستی پس از قهر است.
474,سنگ نوشته، لوح است.
475,امرا معادل پادشاهان است.
476,شلیک معادل تیراندازی است.
477,سل بیماری ریوی است.
478,وون واحد پول کره است.
479,یا حرف انتخاب است.
480,سوگند معادل قسم است.
481,یم معادل دریا و بحر است.
482,نیت معادل قصد و آهنگ است.
483,تک نوک پرنده است.
484,ویزا امضای گذرنامه است.
485,راور شهری در کرمان است.
486,عدل دادگری کردن است.
487,تولد به دنیا آمدن است.
488,سخن تعهد آور، قول است.
489,کش مرتجع لاستیکی است.
490,ربا پول نامشروع است.
491,دود حاصل سوختن ناقص است.
492,برگ واحد شمارش کاغذ است.
493,بی‌باک معادل متهور و جسور است.
494,تهاتر معامله پایاپای است.
495,مردوخ، یکی از خدایان باستانی تمدن بابل است.
496,اولیا معادل پدر و مادر است.
497,مضراب آلتی برای نواختن سازهای زهی است.
498,سروان از درجات نظامی است.
499,شو نمایش تلویزیونی است.
500,ریلکس معادل بی‌دغدغه است.
501,وان وسیله‌ای در حمام است.
502,روا معادل شایسته و جایز است.
503,تکه پاره‌ای از چیزی است.
504,قنبر نام یکی از تابعان امام علی (ع) است.
505,بگونیا از گیاهان آپارتمانی است.
506,امکانات فرصتها یا تواناییها برای انجام کار است.
507,مستقیم معادل راست است.
508,موات بی جان است.
509,تری معادل خیسی است.
510,وبا از بیماری‌های‌ واگیردار است.
511,رنج معادل درد و الم است.
512,کک زغال سنگ مرغوب است.
513,نمابر دستگاه فاکس است.
514,لومیر برادران مخترع سینما است.
515,کیفری معادل جزایی است.
516,برانگیخته شده، مبعوث است.
517,آبکند معادل آبگیر است.
518,ممشوق معادل زیبا است.
519,متکلم معادل سخنگو است.
520,رضوان دربان بهشت است.
521,سرکوب معادل سرزنش و طعنه است.
522,از در وارد می‌شویم.
523,نباتی نوعی روغن است.
524,مع گداخته شدن است.
525,وار پسوند شباهت است.
526,رمق معادل توان و نیرو است.
527,نیو معادل جوان و دلیر است.
528,خبیر معادل آگاه و دانا است.
529,کیومرث اولین پادشاه پیشدادی است.
530,لوبامبا پایتخت سوازیلند است.
531,اسکاگن بندری در دانمارک است.
532,ابکا گریه کردن است.
533,ورس مهار بینی شتر است.
534,وام معادل قرض و بدهی است.
535,ریب معادل حقه و کلک است.
536,می‌دهند تا رسوا کنند، لو است.
537,تنتور داروی حل شده در الکل است.
538,فک جانوری دریایی است.
539,انترن کارآموز رشته پزشکی است.
540,انتها معادل آخر و پایان است.
541,تجرید شمشیر از غلاف کشیدن است.
542,غمخوار معادل دلسوز و مهربان است.
543,شوفر راننده اتومبیل است.
544,رام دست آموز است.
545,رندم انتخاب شماره تصادفی در رایانه است.
546,او اشاره به شخص غایب است.
547,اد نام آذری است.
548,باجه معادل گیشه است.
549,کنس تنگ چشم و بخیل است.
550,مرداد از ماه‌های سال است.
551,لاهوت عالم الهی است.
552,تخم دانه گیاه است.
553,یدی کار دستی و غیر ماشینی است.
554,نسا سوره زنان است.
555,رنو نوعی ماشین است.
556,شنبه اولین روز هفته است.
557,رج ردیف قالیبافی است.
558,آبنوس چوب صنعتی ارزنده است.
559,هی خطاب بی ادبانه است.
560,میرا معادل فانی است.
561,توت میوه بهاری است.
562,شما ضمیر مؤدبانه است.
563,خمس یک پنجم است.
564,حکم معادل داور و قاضی است.
565,نیمرو خوراکی از تخم مرغ است.
566,رایحه بوی خوش است.
567,ریسک خطر پذیری است.
568,رم گریز حیوان است.
569,یا حرف گزینش است.
570,مدار خط سیر سیارات است.
571,هما هواپیمای ملی ایران است.
572,یدکی ابزار اضافی است.
573,ماراتن نوعی مسابقه دو استقامت است.
574,غرامت معادل تاوان و جریمه است.
575,روشنایی معادل نور و فروغ است.
576,مادرخرج مسئول هزینه در سفرها است.
577,میلاد زاد روز است.
578,خم کوزه سفالین است.
579,دمن معادل دشت و صحرا است.
580,مامن جای امن است.
581,وای صوت درد و رنج است.
582,می‌نت سوم است.
583,ارادی معادل اختیاری است.
584,برخورد معادل تصادف است.
585,رنج معادل محنت و اندوه است.
586,دشنام معادل ناسزا و فحش است.
587,یام اسب چاپار است.
588,دهلی‌نو پایتخت هندوستان است.
589,سرسرا معادل هال و راهرو است.
590,شم حس بویایی است.
591,بست همراه چفت است.
592,اک معادل صدمه و آسیب است.
593,کهنه معادل قدیمی و فرسوده است.
594,وحی پیام آسمانی است.
595,ها نشانه جمع است.
596,فانوس چراغ دریایی است.
597,هتک حرمت اسائه ادب است.
598,روستایی اهل دهکده است.
599,مهمان مقابل میزبان است.
600,پیشگو کسی است که از آینده خبر می‌دهد.
601,قلتشن آدم خشن و بی فرهنگ است.
602,وادی معادل بیابان و صحرا است.
603,گله معادل شکوه و شکایت است.
604,وو ضمیر فرانسوی است.
605,کف سطح دست است.
606,رکوع خم شدن است.
607,عقب پشت سر است.
608,هتل مهمانخانه مدرن است.
609,مجهول معادل ناشناخته و نامعلوم است.
610,نمک چاشنی پرمصرف است.
611,لیف کیسه صابون است.
612,اساسی معادل بنیادی و اصولی است.
613,لاک خانه سنگ پشت است.
614,گرز سلاح رستم است.
615,تبسم لبخند زدن است.
616,صف معادل رده و رسته است.
617,سی بله ایتالیایی است.
618,پوز پیرامون دهان چارپایان است.
619,ازلی دیرینه و بی آغاز است.
620,کمبود معادل نقصان و کاستی است.
621,متاهل معادل عیالوار است.
622,پوکه فشنگ خالی است.
623,مگسک قسمتی از تفنگ است.
624,یافتن پیدا کردن است.
625,ریم چرک زخم است.
626,شد استوار ساختن است.
627,لماز معادل بدگوی است.
628,گیر دشواری در کار است.
629,کس معادل شخص و فرد است.
630,پو رودی در ایتالیا است.
631,کم معادل قلیل و اندک است.
632,اتود مطالعه مقدماتی است.
633,گوجه سبز از میوه‌های تابستانی است.
634,قلعه معادل حصار و دژ است.
635,یس بله بیگانه است.
636,زیر پا مانده، له است.
637,مات معادل تار و کدر است.
638,علیل معادل معلول و ناتوان است.
639,زا به دنیا آوردن است.
640,شوق معادل اشتیاق و آرزومندی است.
641,فاصله معادل مسافت است.
642,نوبت وقت چیزی یا کاری است.
643,کفیل معادل ضامن و متعهد است.
644,جوانرود شهری در استان کرمانشاه است.
645,استخلاف جانشین ساختن است.
646,یوش دهکده نیما است.
647,هرت شهر بی‌قانون است.
648,زائر زیارت ‌کننده است.
649,هس معاون هیتلر است.
650,سنگک نان سنتی پرطرفدار است.
651,هتل اقامتگاه مسافر است.
652,یارن پایتخت نائورو است.
653,سم کشنده بی‌صدا است.
654,یارا معادل قدرت و توان است.
655,یقه گریبان لباس است.
656,نوعی گلیم دست باف خاص ایران که نقشه‌اش از داستانی حکایت می‌کند، گبه است.
657,مامیران از گیاهان دارویی است.
658,هم ترازو هم وزن است.
659,جایزه به برنده می‌دهند.
660,یتیمه گوهر بی‌همتا است.
661,ارقام معادل اعداد و شماره‌ها است.
662,آتشی معادل عصبانی و خشمناک است.
663,هر شامل همه می‌شود.
664,همت تلاش و کوشش قوی است.
665,نخ یار سوزن است.
666,رستنی آنچه از زمین‌بروید است.
667,رله تقویت امواج رادیویی است.
668,نل برج فرانسه است.
669,اگرا نوعی آش آرد است.
670,وارنگ معادل رنگارنگ است.
671,سرباز شهری در استان سیستان و بلوچستان است.
672,دفترک معادل بروشور است.
673,ماه نو ماه شب اول است.
674,واکس زدن یکی از کارهای کفاشی است.
675,نوتردام کلیسای شهر پاریس است.
676,تارخ پدر حضرت ابراهیم (ع) است.
677,رو مایه پیشرفت بعضی‌ها! است.
678,سمین معادل چاق است.
679,لیا از دختران حضرت شعیب (ع) است.
680,قوه معادل نیرو و توان است.
681,یورش معادل هجوم و حمله است.
682,تاتا لکنت زبان است.
683,سخ معادل خوب و خوش است.
684,وکیل اول از فیلم‌های جمشید حیدری است.
685,آنمی بیماری کم‌خونی است.
686,لکنت گرفتگی ‌زبان است.
687,اپرا نمایش همراه با شعر و موسیقی است.
688,شن معادل سنگریزه است.
689,هلوگ بازیکن دانمارکی سابق آ. ث میلان است.
690,کوردوبا واحد پول نیکاراگوا است.
691,اسرافیل از فرشتگان مقرب الهی است.
692,ونتیلاتور دستگاه تنفس مصنوعی است.
693,رایکا معادل محبوب و معشوق است.
694,آوانی معادل ظرف‌ها است.
695,بخور اکالیپتوس برای سرما خوردگی و زکام بکار میرود.
696,کتر کوهان بلند است.
697,ایتی موجود فرازمینی سینمایی است.
698,کمر بخشی از بدن است.
699,رر تکرار یک حرف است.
700,سرخس شهری در خراسان رضوی است.
701,والان لبه چین دار پرده است.
702,اهدا هدیه دادن است.
703,زد حرف زورو! است.
704,مقر جای قرار و آرام است.
705,انتن گیرنده‌امواج رادیویی است.
706,لوف مخترع آنتن بی سیم است.
707,داریوش سوم آخرین شاه هخامنشی است.
708,آشوبی هافبک اسبق تیم‌های پرسپولیس و استقلال است.
709,نمونه معادل الگو و مدل است.
710,خلیج بنگال خلیجی در شمال شرقی اقیانوس هند است.
711,ماکزیمم بالاترین اندازه است.
712,سرا معادل خانه است.
713,ملی معادل مردمی است.
714,گو معادل پهلوان است.
715,شیلا پرنده سندباد است.
716,الگو معادل طرح و نمونه است.
717,یی حرف دهن‌کجی است.
718,آتی معادل آینده است.
719,وژ معادل خشم و قهر است.
720,عروس همراه داماد است.
721,بیتا معادل بی‌نظیر است.
722,دنبالش نگردید!، گم است.
723,حصار معادل قلعه است.
724,گلریزان رسمی در زورخانه است.
725,آری جواب مثبت است.
726,نفت طلای سیاه است.
727,هیرنوین تیمی در لیگ هلند است.
728,مسی از جنس فلزبادیه است.
729,گاه و بیگاه وقت و بی وقت است.
730,ارکیولوژی باستان شناسی است.
731,لری گویشی در کشورمان است.
732,کانا معادل نادان است.
733,گر بیماری جرب است.
734,تحریر معادل نوشتن است.
735,ورشو پایتخت لهستان است.
736,عاصی معادل گناهکار است.
737,برد یمانی معروف‌است.
738,ار واحد سطح است.
739,از نو معادل دوباره است.
740,ملخ حشره جهنده است.
741,لیتوگرافی تهیه و کپی و مونتاژ فیلم و زینگ کارهای چاپی است.
742,میتراییسم آیین مهرپرستی است.
743,نتن معادل بدبو است.
